Epoch,Learning Rate,Training Loss,Validation Accuracy
1,0.0001,1.8309318092134264,90.62378692626953
2,0.0001,1.7768686140577,90.20044708251953
3,0.0001,1.7233364039825068,89.6809310913086
4,0.0001,1.760415816058715,90.68466186523438
5,0.0001,1.8313171627620857,89.05181884765625
6,0.0001,1.8278977821270626,90.83446502685547
7,0.0001,1.8897355252669916,90.4154281616211
8,0.0001,1.829905232621564,90.73342895507812
9,0.0001,1.7028157632384036,90.7142562866211
10,0.0001,1.6643979841222365,90.92391967773438
11,0.0001,1.659935650519199,90.6060791015625
12,0.0001,1.599101237124867,90.85472106933594
13,0.0001,1.7199537805798981,90.90907287597656
14,0.0001,1.774043918069866,89.05974578857422
15,0.0001,1.6892202018449705,91.18467712402344
16,0.0001,1.5796130976329248,90.95346069335938
17,0.0001,1.561363599366612,91.1424789428711
18,0.0001,1.5459375706397824,91.4452896118164
19,0.0001,1.512261493338479,90.95282745361328
20,0.0001,1.4970557962854703,90.11915588378906
